UT C-Scan Data 
 Operator:   
 Date:  01/01/07 01:12:49 
 Job Name:  UTwin 
 Part Name:  Part 
 Comment:   
 Material Name:  Water 
 Longitudinal Velocity(mm/us):  0.059 
 A/D Delay(us):  13.000 
 A/D Width(us):  14.000 
 A/D Gain(dB):   14.0 
 A/D Offset(mV): 0.994 
 A/D Rate(MHz):  50.0 
 A/D Average:    3 
 A/D Trig Source: 0 
 A/D Filter Mode: Filter Off 
 A/D LP Filter(MHz):  15.0 
 A/D HP Filter(MHz):  2.0 
 A/D DAC: DAC ON 
 A/D AGC: AGC OFF 
 P/R Voltage(v):  150.0 
 P/R Damp(ohms):  -1.0 
 P/R Energy(pf):  -1.0 
 P/R frequency(MHz):  25.0 
 P/R Gain(dB):  33.0 
 P/R Filter Mode:  Off 
 P/R LP Filter(MHz):  -1.0 
 P/R HP Filter(MHz):  -1.0 
 Wave mode:  Longitudinal wave 
 Angle:  0.00 
 Center Frequency: 5.000 
 diameter: 12.700 
 Probe:   
_____________Réglages C-Scan __________________________ 
Unité de distance: mm 
Axe de balayage: 0 
Longueur de balayage: 12017.400 
Résolution de balayage: 0.150 
Axe d'index: 1 
Longueur d'index: 75.000 
Résolution d'index: 5.000 
____________Réglages des paramètres en sortie___________________ 
Données voie: 1 
Données porte: 2 
Paramètre en sortie:AMP(%)  
 ______Données en sortie (col: axe balay., ligne: axe incrém.)______,,,,,,,
X/Y,0,5,10,15,20,25,30,35
-11965.0498,100,91.0601,84.4162,100,100,100,100,100
-11964.9004,100,96.6292,78.0166,100,100,100,100,100
-11964.75,100,93.9912,70.4446,100,100,100,100,100
-11964.5996,100,100,62.7259,100,100,100,100,100
-11964.4502,100,100,57.3522,100,100,100,100,100
-11964.2998,100,100,56.4729,99.9511,100,100,100,100
-11964.1504,100,100,56.2286,90.1808,100,100,100,100
-11964,100,100,59.404,90.1319,100,100,100,100
-11963.8496,100,100,65.022,88.764,100,100,100,100
-11963.7002,100,100,75.916,81.0454,100,100,100,100
-11963.5498,100,100,82.8041,79.2868,100,100,100,100
-11963.4004,100,100,98.0459,76.1114,100,100,100,100
-11963.25,100,100,100,75.0855,100,100,100,100
-11963.0996,100,100,100,71.1285,100,100,100,100
-11962.9502,100,100,100,64.2404,100,100,100,100
-11962.7998,100,100,100,64.3381,100,100,100,100
-11962.6504,100,100,100,59.7948,100,100,100,100
-11962.5,100,100,100,59.746,100,100,100,100
-11962.3496,100,100,100,58.2316,100,100,100,100
-11962.2002,100,100,100,59.4529,100,100,100,100
-11962.0498,100,100,100,61.8466,100,100,100,100
-11961.9004,100,100,100,62.384,100,100,100,100
-11961.75,100,100,100,62.2863,100,100,100,100
-11961.5996,100,100,100,66.0479,100,100,100,100
-11961.4502,100,100,100,64.5823,100,100,100,100
-11961.2998,100,100,100,71.0308,100,100,100,100
-11961.1504,100,100,100,78.9448,100,100,100,100
-11961,100,100,100,88.9106,100,100,100,100
-11960.8496,100,100,100,98.1436,100,100,100,100
-11960.7002,100,100,100,100,100,100,100,100
-11960.5498,100,100,100,100,98.4367,100,100,100
-11960.4004,100,100,100,100,94.4309,100,100,100
-11960.25,100,100,100,100,94.1378,100,100,100
-11960.0996,100,100,100,100,97.0689,100,100,100
-11959.9502,100,100,100,100,99.3649,100,100,100
-11959.7998,100,100,100,100,97.6551,100,100,100
-11959.6504,100,100,100,100,99.8534,100,100,100
-11959.5,100,100,100,100,100,100,100,100
-11959.3496,100,99.5603,100,100,100,100,100,100
-11959.2002,100,93.063,100,100,100,100,100,100
-11959.0498,100,97.0689,100,100,100,100,100,100
-11958.9004,100,92.8188,100,100,100,100,100,100
-11958.75,100,90.2296,100,100,100,100,100,100
-11958.5996,100,90.0342,100,100,100,100,100,100
-11958.4502,100,81.4851,100,100,100,100,100,100
-11958.2998,100,84.6605,100,100,100,100,100,100
-11958.1504,100,84.0254,100,100,96.5804,100,100,100
-11958,100,86.4191,100,100,91.1089,100,100,100
-11957.8496,100,85.9306,100,100,89.0083,100,100,100
-11957.7002,100,86.81,100,100,84.172,100,100,100
-11957.5498,100,87.445,100,100,77.7723,100,100,100
-11957.4004,100,92.3791,100,100,73.1314,100,100,100
-11957.25,100,90.3762,100,100,68.1974,100,100,100
-11957.0996,100,97.6063,100,100,59.6971,100,100,100
-11956.9502,100,98.3879,100,100,58.6712,100,100,100
-11956.7998,100,100,97.9482,100,53.0044,100,100,100
-11956.6504,100,100,91.5486,99.3649,50.9526,100,100,100
-11956.5,100,100,82.2667,94.9682,48.5589,100,100,100
-11956.3496,100,100,79.8241,89.7899,48.8031,100,100,100
-11956.2002,100,100,70.4446,90.9624,49.9267,100,100,100
-11956.0498,100,100,61.3092,84.6116,48.51,100,100,100
-11955.9004,100,100,60.4299,84.0254,48.4123,100,100,100
-11955.75,100,100,61.2604,80.5081,48.852,100,100,100
-11955.5996,100,100,61.8955,78.0166,51.2946,100,100,100
-11955.4502,100,100,59.2574,75.574,54.0303,100,100,100
-11955.2998,100,100,59.5994,71.4216,57.0591,100,100,100
-11955.1504,100,100,58.7201,70.4934,61.7,100,100,100
-11955,100,100,59.2086,69.7118,68.6859,100,100,100
-11954.8496,100,100,65.4128,66.1944,70.9819,100,100,100
-11954.7002,100,100,73.8642,64.7777,74.4504,100,100,100
-11954.5498,100,100,87.3962,64.7289,76.3556,100,100,100
-11954.4004,100,100,89.5457,63.6541,81.9736,100,100,100
-11954.25,100,100,97.5574,63.4587,83.1461,100,100,100
-11954.0996,100,100,100,63.6541,84.6116,100,100,100
-11953.9502,100,100,100,63.1168,88.9595,100,100,100
-11953.7998,100,100,100,63.703,90.2296,100,100,100
-11953.6504,100,100,100,66.0479,93.8935,100,100,100
-11953.5,100,100,100,65.8525,100,100,100,100
-11953.3496,100,100,100,66.9761,100,100,100,100
-11953.2002,100,100,100,70.8354,100,100,100,100
-11953.0498,100,100,100,70.3468,100,100,100,100
-11952.9004,100,100,100,73.5222,100,100,100,100
-11952.75,100,100,100,72.7406,100,100,100,100
-11952.5996,100,100,100,74.4993,100,100,100,100
-11952.4502,100,100,100,76.5999,100,100,100,100
-11952.2998,100,100,100,78.554,100,100,100,100
-11952.1504,100,100,100,80.5569,100,100,100,100
-11952,100,100,100,80.0684,100,100,100,100
-11951.8496,100,100,100,83.2926,100,100,100,100
-11951.7002,100,100,100,81.3874,100,100,100,100
-11951.5498,100,100,100,81.4362,100,100,100,100
-11951.4004,100,100,100,82.3644,100,100,100,100
-11951.25,100,100,100,86.6634,100,100,100,100
-11951.0996,100,100,100,89.5457,100,100,100,100
-11950.9502,100,100,100,91.6952,100,100,100,100
-11950.7998,100,100,100,97.4597,100,100,99.5115,100
-11950.6504,100,100,100,99.9511,100,100,97.4597,100
-11950.5,100,100,100,100,100,100,98.5833,100
-11950.3496,100,100,100,100,100,100,96.6781,100
-11950.2002,100,100,100,100,100,100,95.7499,100
-11950.0498,100,100,100,100,100,100,95.6033,100
-11949.9004,100,100,100,100,100,100,93.8935,100
-11949.75,100,100,100,100,100,100,98.4367,100
-11949.5996,100,100,100,100,100,100,97.8505,100
-11949.4502,100,100,100,100,100,100,98.1436,100
-11949.2998,100,100,100,100,100,100,99.1695,100
-11949.1504,100,100,100,100,100,100,100,100
-11949,100,100,100,100,100,100,100,100
-11948.8496,100,100,100,100,100,100,100,100
-11948.7002,100,100,100,100,100,100,100,100
-11948.5498,100,100,100,100,100,100,100,100
-11948.4004,100,100,100,100,100,100,100,100
-11948.25,100,100,100,100,100,100,100,100
-11948.0996,100,100,100,100,100,100,100,100
-11947.9502,100,100,100,100,100,100,100,100
-11947.7998,100,100,100,100,100,100,100,100
-11947.6504,100,100,100,100,100,100,100,99.8046
-11947.5,100,100,100,100,100,100,100,99.4626
-11947.3496,100,100,100,100,100,100,100,97.2154
-11947.2002,100,100,100,100,100,100,100,94.382
-11947.0498,100,100,100,100,100,100,100,91.9883
-11946.9004,100,100,100,100,100,100,100,88.1778
